Year,Station ID,County,Signing,State Route,County Road,Road Name,Beginning Description,Ending Description,Municipality,Length,Functional Class,Ramp,Bridge,Railroad Crossing,One Way,Count,address,latitude2,longitude2
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
